hospital,d_2015,d_2016,link_2015,link_2016
"Bridgeport Hospital",40511922,36465960,https://www.documentcloud.org/documents/4383737-Yale-HealthCare-Yale-New-Haven-Bridgeport.html,https://www.documentcloud.org/documents/4383379-Yale-Health-Yale-New-Haven-Bpt-Greenwich-and-L-M.html
Bristol Hospital,0,0,https://www.documentcloud.org/documents/4383708-Bristol-Hospital-2015.html,https://www.documentcloud.org/documents/4383305-Bristol-Hospital-2016-Filed-6-6-2017.html
Charlotte Hungerford Hospital,4632589,6072950,https://www.documentcloud.org/documents/4383709-Charlotte-Hungerford-Hospital-2015.html,https://www.documentcloud.org/documents/4383329-Charlotte-Hungerford-Hospital-2016.html
Connecticut Childrens Medical Center,10071694,12293049,https://www.documentcloud.org/documents/4383710-Conn-Children-s-Medical-Center-2015.html,https://www.documentcloud.org/documents/4383334-Connecticut-Children-s-2016.html
Day Kimball Healthcare,0,0,https://www.documentcloud.org/documents/4383711-Day-Kimball-Hospital-2015.html,https://www.documentcloud.org/documents/4383338-Day-Kimball-Healthcare-2016.html
Gaylord Hospital,0,0,https://www.documentcloud.org/documents/4383712-Gaylord-Hospital-2015.html,https://www.documentcloud.org/documents/4383340-Gaylord-Hospital-2016.html
Griffin Hospital,0,0,https://www.documentcloud.org/documents/4383713-Griffin-Hospital-2015.html,https://www.documentcloud.org/documents/4383341-Griffin-Hospital-2016.html
"Greenwich Hospital",15859888,2853917,https://www.documentcloud.org/documents/4383737-Yale-HealthCare-Yale-New-Haven-Bridgeport.html,https://www.documentcloud.org/documents/4383379-Yale-Health-Yale-New-Haven-Bpt-Greenwich-and-L-M.html
Hartford Hospital,31701719,37699428,https://www.documentcloud.org/documents/4383714-Hartford-HealthCare-Hartford-Hosp-2015.html,https://www.documentcloud.org/documents/4383342-Hartford-Hospital-2016.html
Hebrew HealthCare,0,0,https://www.documentcloud.org/documents/4383715-Hebrew-HealthCare-2015.html,https://www.documentcloud.org/documents/4383343-Hebrew-HealthCare-2016.html
The Hospital of Central Connecticut,18126029,18367947,https://www.documentcloud.org/documents/4383716-Hospital-of-CT-Conn-2015.html,https://www.documentcloud.org/documents/4383344-Hospital-of-Central-Connecticut-2016.html
Hospital for Special Care,52331,69206,https://www.documentcloud.org/documents/4383717-Hospital-for-Special-Care-2015.html,https://www.documentcloud.org/documents/4383347-Hospital-for-Special-Care-2016.html
Lawrence + Memorial Hospital,1455210,1860425,https://www.documentcloud.org/documents/4383718-L-M-Hospital-2015.html,https://www.documentcloud.org/documents/4383350-Lawrence-Memorial-Hospital-2016.html
Manchester and Rockville Hospitals,13628654,10677120,https://www.documentcloud.org/documents/4383719-Manchester-Rockville-Hospital-2015.html,https://www.documentcloud.org/documents/4383351-Manchester-and-Rockville-Hospitals-2016.html
Middlesex Hospital,1711447,2492237,https://www.documentcloud.org/documents/4383720-Middlesex-Hospital-2015.html,https://www.documentcloud.org/documents/4383352-Middlesex-Hospital-2016.html
MidState Medical Center,10373827,10358973,https://www.documentcloud.org/documents/4383721-Midstate-Hospital-2015.html,https://www.documentcloud.org/documents/4383353-MidState-Hospital-2016.html
Milford Hospital,421906,536979,https://www.documentcloud.org/documents/4383722-Milford-Hospital-Revise-2015.html,https://www.documentcloud.org/documents/4383354-Milford-Hospital-2016.html
Natchaug Hospital,0,0,https://www.documentcloud.org/documents/4383723-Natchaug-Hospital-2015.html,https://www.documentcloud.org/documents/4383355-Natchaug-Hospital-2016.html
Saint Mary's Hospital,23617921,22781457,https://www.documentcloud.org/documents/4383724-Saint-Mary-s-Hospital-2015.html,https://www.documentcloud.org/documents/4383356-Saint-Mary-s-Hospital-2016.html
Saint Vincent's Medical Center,2451769,1265280,https://www.documentcloud.org/documents/4383725-St-Vincent-s-Hospital-2015.html,https://www.documentcloud.org/documents/4383357-St-Vincent-s-Medical-Center-2016.html
Sharon Hospital,0,0,https://www.documentcloud.org/documents/4383726-Sharon-Hospital-2015.html,https://www.documentcloud.org/documents/4383360-Sharon-Hospital-2016.html
Silver Hill Hospital,0,0,https://www.documentcloud.org/documents/4383727-Silver-Hill-Hospital-2015.html,https://www.documentcloud.org/documents/4383361-Silver-Hill-Hospital-2016.html
Stamford Hospital,117677592,118236554,3-Jul-17,https://www.documentcloud.org/documents/4383728-Stamford-Hospital-2015.html,https://www.documentcloud.org/documents/4383362-Stamford-Hospital-2016.html
"Trinity Health of N.E.: St. Francis, Mt. Sinai, Johnson Memorial ",12110449,11190923,https://www.documentcloud.org/documents/4383729-Trinity-Health-St-Francis-Mt-Sinai-2015.html,https://www.documentcloud.org/documents/4383366-Trinity-Health-St-Francis-Hosp-Mt-Sinai-Johnson.html
"UCONN Health, John Dempsey Hospital",17648462,19247708,https://www.documentcloud.org/documents/4383730-UConnHealth-John-Dempsey-Hospital-2015.html,https://www.documentcloud.org/documents/4383368-UConn-Health-John-Dempsey-Hosp-2016.html
Waterbury Hospital,5517972,5198054,https://www.documentcloud.org/documents/4383733-Waterbury-Hospital-2015.html,https://www.documentcloud.org/documents/4383371-Waterbury-Hospital-2016.html
"Western Conn. Health Network, Danbury and Norwalk Hospitals",57563082,53468994,https://www.documentcloud.org/documents/4383735-WCHN-Danbury-amp-Norwalk-Hospitals-2015-1.html,https://www.documentcloud.org/documents/4383372-Western-CT-Danbury-and-Norwalk-Hospitals-2016.html
William W. Backus Hospital,15425598,14463507,https://www.documentcloud.org/documents/4383736-William-Backus-Hospital-2015.html,https://www.documentcloud.org/documents/4383374-William-Backus-Hospital-2016.html
Windham Hospital,84958,49170,,https://www.documentcloud.org/documents/4383378-Windham-Hospital-2016.html
"Yale New Haven Hospital",200103606,103167027,https://www.documentcloud.org/documents/4383737-Yale-HealthCare-Yale-New-Haven-Bridgeport.html,https://www.documentcloud.org/documents/4383379-Yale-Health-Yale-New-Haven-Bpt-Greenwich-and-L-M.html
